t,u0,u1,y0,y1,yT0,yT1
0.538,1,0,0.00032191,4.7171e-05,0.00033087,5.7384e-05
0.54,1,0,0.00032174,4.7335e-05,0.0003027,6.1396e-05
0.542,1,0,0.00032159,4.7503e-05,0.00032946,7.7514e-05
0.544,1,0,0.00032146,4.7675e-05,0.00032706,3.0602e-05
0.546,1,0,0.00032135,4.7851e-05,0.00032464,5.1557e-05
0.548,1,0,0.00032127,4.803e-05,0.00033301,3.8957e-05
0.55,1,0,0.0003212,4.8212e-05,0.00031682,5.7381e-05
0.552,1,0,0.00032115,4.8397e-05,0.00029774,3.7906e-05
0.554,1,0,0.00032113,4.8586e-05,0.00031863,4.1944e-05
0.556,1,0,0.00032112,4.8777e-05,0.00031334,4.8365e-05
0.558,1,0,0.00032113,4.897e-05,0.0003088,2.6445e-05
0.56,1,0,0.00032117,4.9166e-05,0.00032443,5.1528e-05
0.562,1,0,0.00032122,4.9365e-05,0.00030244,3.6651e-05
0.564,1,0,0.00032128,4.9565e-05,0.00032337,3.2156e-05
0.566,1,0,0.00032137,4.9768e-05,0.00033929,7.2891e-05
0.568,1,0,0.00032147,4.9972e-05,0.00034898,5.9077e-05
0.57,1,0,0.00032159,5.0178e-05,0.00032637,5.9386e-05
0.572,1,0,0.00032173,5.0386e-05,0.00030127,6.3432e-05
0.574,1,0,0.00032188,5.0595e-05,0.00032196,3.9625e-05
0.576,1,0,0.00032205,5.0805e-05,0.00030266,4.5498e-05
0.578,1,0,0.00032224,5.1016e-05,0.00033963,4.7773e-05
0.58,1,0,0.00032244,5.1228e-05,0.00030091,2.6141e-05
0.582,1,0,0.00032265,5.1441e-05,0.00031822,3.8106e-05
0.584,1,0,0.00032288,5.1655e-05,0.00032217,2.1951e-05
0.586,1,0,0.00032312,5.1869e-05,0.00030843,7.5621e-05
0.588,1,0,0.00032338,5.2083e-05,0.00033284,6.259e-05
0.59,1,0,0.00032365,5.2298e-05,0.00032944,7.9599e-05
0.592,1,0,0.00032393,5.2513e-05,0.00029925,5.4841e-05
0.594,1,0,0.00032423,5.2728e-05,0.00032618,4.1893e-05
0.596,1,0,0.00032453,5.2943e-05,0.00031502,3.1708e-05
0.598,1,0,0.00032485,5.3158e-05,0.00032577,5.579e-05
0.6,1,0,0.00032518,5.3372e-05,0.00034981,2.9727e-05
0.602,1,0,0.00032552,5.3586e-05,0.00032044,8.0168e-05
0.604,1,0,0.00032587,5.3799e-05,0.0003173,5.7261e-05
0.606,1,0,0.00032623,5.4011e-05,0.00033977,4.2729e-05
